NOMBRE,Month,NDVI,NDVI_p25,NDVI_p75,anio_actual
Matilde,5.0,0.1213,0.1032,0.1561,-9999.0000
Los Pinos,5.0,0.1876,0.1511,0.2196,-9999.0000
Marga Marga,5.0,0.1748,0.1505,0.2057,-9999.0000
60,5.0,0.1315,0.1227,0.1656,-9999.0000
Castillo Blanco,5.0,0.1210,0.1077,0.1284,-9999.0000
El Tranque,5.0,0.1565,0.1333,0.1629,-9999.0000
Jose Miguel Carrera,5.0,0.1072,0.0887,0.1303,-9999.0000
Las Rosas,5.0,0.1153,0.1005,0.1249,-9999.0000
Piloto Pardo,5.0,0.1219,0.1182,0.1453,-9999.0000
Porvenir,5.0,0.2366,0.1866,0.2653,-9999.0000
Textil Viña,5.0,0.0950,0.0893,0.1129,-9999.0000
21 de Mayo,5.0,0.1430,0.1323,0.1680,-9999.0000
Barros Arana,5.0,0.1609,0.1346,0.1787,-9999.0000
La Granja,5.0,0.1572,0.1351,0.1687,-9999.0000
Las Viñas,5.0,0.1702,0.1500,0.1791,-9999.0000
Los Estanques,5.0,0.1406,0.1289,0.1573,-9999.0000
Mena,5.0,0.1397,0.1288,0.1611,-9999.0000
Pedro Montt,5.0,0.1404,0.1262,0.1539,-9999.0000
Victoria Oriente,5.0,0.1249,0.1145,0.1483,-9999.0000
Victoria Poniente,5.0,0.1328,0.1211,0.1560,-9999.0000
Villa Olimpica,5.0,0.1125,0.0784,0.1378,-9999.0000
Araya,5.0,0.1263,0.1104,0.1416,-9999.0000
Arturo Prat,5.0,0.1211,0.0936,0.1363,-9999.0000
Blanco,5.0,0.1240,0.1161,0.1500,-9999.0000
Centro,5.0,0.1224,0.1087,0.1313,-9999.0000
Colina de Oro,5.0,0.2171,0.1793,0.2500,-9999.0000
El Esfuerzo,5.0,0.1293,0.1136,0.1409,-9999.0000
Emparte,5.0,0.0883,0.0838,0.0905,-9999.0000
Esmeralda,5.0,0.1446,0.1270,0.1506,-9999.0000
Liceo,5.0,0.1297,0.1184,0.1439,-9999.0000
Poblacion Esperanza,5.0,0.1513,0.1355,0.1629,-9999.0000
Poblacion Ferroviaria,5.0,0.1490,0.1370,0.1685,-9999.0000
R. Sotomayor,5.0,0.1364,0.1229,0.1441,-9999.0000
San Cristobal2,5.0,0.1663,0.1490,0.1880,-9999.0000
Sol del Pacifico,5.0,0.1260,0.1156,0.1476,-9999.0000
Soublete (Francisco Bilbao),5.0,0.1314,0.1139,0.1488,-9999.0000
Thompson,5.0,0.0977,0.0884,0.1154,-9999.0000
M. Mena,5.0,0.1101,0.0984,0.1220,-9999.0000
Manuel Rodriguez,5.0,0.1127,0.1020,0.1241,-9999.0000
No Organizada,5.0,0.1786,0.1075,0.2023,-9999.0000
Pompeya Norte,5.0,0.1137,0.1020,0.1401,-9999.0000
Pompeya Sur,5.0,0.1393,0.1258,0.1509,-9999.0000
Valencia Alto,5.0,0.1097,0.1015,0.1188,-9999.0000
Costa Sol,5.0,0.0771,0.0551,0.0905,-9999.0000
California,5.0,0.1244,0.0918,0.1292,-9999.0000
Camilo Henriquez,5.0,0.1263,0.1115,0.1354,-9999.0000
El Bosque,5.0,0.2624,0.2098,0.3258,-9999.0000
El Sol,5.0,0.2258,0.2050,0.2400,-9999.0000
General Baquedano,5.0,0.1434,0.1300,0.1610,-9999.0000
Infante,5.0,0.1992,0.1796,0.2213,-9999.0000
Lo Gamboa,5.0,0.1104,0.0904,0.1246,-9999.0000
Los Espinos,5.0,0.1923,0.1768,0.2103,-9999.0000
Retiro,5.0,0.1972,0.1727,0.2136,-9999.0000
Viñas del Sol,5.0,0.1745,0.1579,0.1993,-9999.0000
Buenos Aires,5.0,0.1480,0.1202,0.1644,-9999.0000
Casa de Valencia,5.0,0.1791,0.1591,0.1960,-9999.0000
Hevia,5.0,0.1267,0.1159,0.1377,-9999.0000
Humbolt,5.0,0.1683,0.1541,0.1805,-9999.0000
Phillips,5.0,0.1418,0.1235,0.1500,-9999.0000
Poblacion Argentina,5.0,0.1745,0.1149,0.1778,-9999.0000
Poblacion Canal Chacao,5.0,0.2069,0.1284,0.2272,-9999.0000
San Gregorio,5.0,0.1207,0.1071,0.1254,-9999.0000
Valencia Bajo,5.0,0.1381,0.1208,0.1464,-9999.0000
Villa Paso Hondo,5.0,0.2199,0.1506,0.2412,-9999.0000
Calicheros,6.0,0.1709,0.1040,0.2674,-9999.0000
Belloto 2000,6.0,0.1076,0.0708,0.1252,-9999.0000
Belloto Centro,6.0,0.1091,0.0707,0.1330,-9999.0000
Bernando Ohiggins,6.0,0.1280,0.0811,0.1538,-9999.0000
Cruz del Sur,6.0,0.1114,0.0689,0.1293,-9999.0000
82,6.0,0.1514,0.1022,0.2095,-9999.0000
Belloto Norte,6.0,0.1358,0.0759,0.1664,-9999.0000
E.E.U.U,6.0,0.1594,0.0881,0.2384,-9999.0000
Lincoyan,6.0,0.1298,0.0781,0.1603,-9999.0000
Los Colonos,6.0,0.2328,0.1289,0.3055,-9999.0000
Patricio Lynch,6.0,0.2033,0.1015,0.2696,-9999.0000
Santa Marta,6.0,0.2038,0.1004,0.2765,-9999.0000
Cantera,6.0,0.1239,0.0785,0.1579,-9999.0000
Decimo Sector,6.0,0.1401,0.0872,0.1747,-9999.0000
Estero Viejo,6.0,0.1256,0.0807,0.1587,-9999.0000
Matilde,6.0,0.1892,0.1031,0.2171,-9999.0000
San Cristobal,6.0,0.1684,0.1073,0.1965,-9999.0000
Tierras Rojas,6.0,0.1378,0.0948,0.1808,-9999.0000
Decimo Sector,6.0,0.1748,0.0917,0.1913,-9999.0000
Matilde,6.0,0.1766,0.0918,0.2855,-9999.0000
Los Pinos,6.0,0.1975,0.1039,0.2608,-9999.0000
Marga Marga,6.0,0.1893,0.0992,0.2333,-9999.0000
60,6.0,0.1730,0.1054,0.2369,-9999.0000
Castillo Blanco,6.0,0.1377,0.0878,0.1603,-9999.0000
El Tranque,6.0,0.1690,0.1041,0.1932,-9999.0000
Jose Miguel Carrera,6.0,0.1218,0.0755,0.1626,-9999.0000
Las Rosas,6.0,0.1284,0.0793,0.1449,-9999.0000
Piloto Pardo,6.0,0.1392,0.0973,0.1728,-9999.0000
Porvenir,6.0,0.2521,0.1228,0.3110,-9999.0000
Textil Viña,6.0,0.1076,0.0667,0.1333,-9999.0000
21 de Mayo,6.0,0.1800,0.1140,0.2226,-9999.0000
Barros Arana,6.0,0.1779,0.1240,0.1920,-9999.0000
La Granja,6.0,0.1804,0.1192,0.2314,-9999.0000
Las Viñas,6.0,0.1846,0.1125,0.2205,-9999.0000
Los Estanques,6.0,0.1592,0.1168,0.2107,-9999.0000
Mena,6.0,0.1691,0.1119,0.1963,-9999.0000
Pedro Montt,6.0,0.1647,0.1133,0.1897,-9999.0000
Victoria Oriente,6.0,0.1618,0.0888,0.1929,-9999.0000
Victoria Poniente,6.0,0.1545,0.0935,0.1819,-9999.0000
Villa Olimpica,6.0,0.1453,0.0904,0.1688,-9999.0000
Araya,6.0,0.1389,0.0892,0.1717,-9999.0000
Arturo Prat,6.0,0.1341,0.0926,0.1431,-9999.0000
Blanco,6.0,0.1206,0.0886,0.1416,-9999.0000
Centro,6.0,0.1263,0.0860,0.1343,-9999.0000
Colina de Oro,6.0,0.2084,0.1293,0.2768,-9999.0000
El Esfuerzo,6.0,0.1418,0.0909,0.1736,-9999.0000
Emparte,6.0,0.0893,0.0634,0.1038,-9999.0000
Esmeralda,6.0,0.1552,0.1056,0.1833,-9999.0000
Liceo,6.0,0.1388,0.1000,0.1544,-9999.0000
Poblacion Esperanza,6.0,0.1682,0.1047,0.1958,-9999.0000
Poblacion Ferroviaria,6.0,0.1649,0.1098,0.1991,-9999.0000
R. Sotomayor,6.0,0.1513,0.1000,0.1688,-9999.0000
San Cristobal2,6.0,0.2065,0.1279,0.2368,-9999.0000
Sol del Pacifico,6.0,0.1497,0.1047,0.1867,-9999.0000
Soublete (Francisco Bilbao),6.0,0.1361,0.0876,0.1549,-9999.0000
Thompson,6.0,0.0988,0.0636,0.1074,-9999.0000
M. Mena,6.0,0.1200,0.0840,0.1616,-9999.0000
Manuel Rodriguez,6.0,0.1257,0.0824,0.1581,-9999.0000
No Organizada,6.0,0.1473,0.1046,0.2355,-9999.0000
Pompeya Norte,6.0,0.1216,0.0781,0.1442,-9999.0000
Pompeya Sur,6.0,0.1538,0.0997,0.1835,-9999.0000
Valencia Alto,6.0,0.1183,0.0739,0.1315,-9999.0000
Costa Sol,6.0,0.0899,0.0515,0.0971,-9999.0000
California,6.0,0.1399,0.0952,0.1488,-9999.0000
Camilo Henriquez,6.0,0.1284,0.0873,0.1558,-9999.0000
El Bosque,6.0,0.3161,0.1596,0.3944,-9999.0000
El Sol,6.0,0.2290,0.1619,0.2611,-9999.0000
General Baquedano,6.0,0.1471,0.1042,0.1717,-9999.0000
Infante,6.0,0.2119,0.1298,0.2689,-9999.0000
Lo Gamboa,6.0,0.1238,0.0852,0.1474,-9999.0000
Los Espinos,6.0,0.1964,0.1314,0.2198,-9999.0000
Retiro,6.0,0.2090,0.1425,0.2434,-9999.0000
Viñas del Sol,6.0,0.1940,0.1280,0.2304,-9999.0000
Buenos Aires,6.0,0.1596,0.1036,0.1912,-9999.0000
Casa de Valencia,6.0,0.1874,0.1281,0.2385,-9999.0000
Hevia,6.0,0.1329,0.0897,0.1577,-9999.0000
Humbolt,6.0,0.1915,0.1275,0.2164,-9999.0000
Phillips,6.0,0.1542,0.0970,0.1866,-9999.0000
Poblacion Argentina,6.0,0.1585,0.1156,0.1860,-9999.0000
Poblacion Canal Chacao,6.0,0.1940,0.1434,0.2806,-9999.0000
San Gregorio,6.0,0.1269,0.0790,0.1438,-9999.0000
Valencia Bajo,6.0,0.1455,0.0858,0.1750,-9999.0000
Villa Paso Hondo,6.0,0.2447,0.1371,0.2906,-9999.0000
Calicheros,7.0,0.2341,0.1875,0.3200,-9999.0000
Belloto 2000,7.0,0.1211,0.0977,0.1267,-9999.0000
Belloto Centro,7.0,0.1274,0.0958,0.1288,-9999.0000
Bernando Ohiggins,7.0,0.1510,0.1173,0.1528,-9999.0000
Cruz del Sur,7.0,0.1252,0.0997,0.1308,-9999.0000
82,7.0,0.2026,0.1540,0.2185,-9999.0000
Belloto Norte,7.0,0.1554,0.1228,0.1684,-9999.0000
E.E.U.U,7.0,0.2163,0.1492,0.2577,-9999.0000
Lincoyan,7.0,0.1516,0.1131,0.1661,-9999.0000
Los Colonos,7.0,0.2952,0.2179,0.3276,-9999.0000
Patricio Lynch,7.0,0.2644,0.1944,0.2782,-9999.0000
Santa Marta,7.0,0.2664,0.1924,0.2909,-9999.0000
Cantera,7.0,0.1569,0.1121,0.1626,-9999.0000
Decimo Sector,7.0,0.1703,0.1252,0.1829,-9999.0000
Estero Viejo,7.0,0.1583,0.1147,0.1611,-9999.0000
Matilde,7.0,0.2113,0.1376,0.2342,-9999.0000
San Cristobal,7.0,0.1902,0.1513,0.1988,-9999.0000
Tierras Rojas,7.0,0.1746,0.1358,0.1834,-9999.0000
Decimo Sector,7.0,0.1977,0.1258,0.2103,-9999.0000
Matilde,7.0,0.2568,0.1456,0.3019,-9999.0000
Los Pinos,7.0,0.2428,0.1932,0.2739,-9999.0000
Marga Marga,7.0,0.2237,0.1761,0.2484,-9999.0000
60,7.0,0.2173,0.1492,0.2472,-9999.0000
Castillo Blanco,7.0,0.1611,0.1224,0.1667,-9999.0000
El Tranque,7.0,0.1940,0.1422,0.2053,-9999.0000
Jose Miguel Carrera,7.0,0.1548,0.1103,0.1625,-9999.0000
Las Rosas,7.0,0.1406,0.1127,0.1461,-9999.0000
Piloto Pardo,7.0,0.1623,0.1258,0.1687,-9999.0000
Porvenir,7.0,0.3064,0.2069,0.3448,-9999.0000
Textil Viña,7.0,0.1252,0.0984,0.1347,-9999.0000
21 de Mayo,7.0,0.2189,0.1632,0.2324,-9999.0000
Barros Arana,7.0,0.1741,0.1592,0.1871,-9999.0000
La Granja,7.0,0.2338,0.1673,0.2510,-9999.0000
Las Viñas,7.0,0.2288,0.1721,0.2408,-9999.0000
Los Estanques,7.0,0.2033,0.1520,0.2242,-9999.0000
Mena,7.0,0.1896,0.1524,0.1988,-9999.0000
Pedro Montt,7.0,0.1859,0.1536,0.1960,-9999.0000
Victoria Oriente,7.0,0.2121,0.1513,0.2218,-9999.0000
Victoria Poniente,7.0,0.1832,0.1348,0.2025,-9999.0000
Villa Olimpica,7.0,0.1863,0.1432,0.2030,-9999.0000
Araya,7.0,0.1679,0.1230,0.1735,-9999.0000
Arturo Prat,7.0,0.1254,0.1201,0.1291,-9999.0000
Blanco,7.0,0.1282,0.1120,0.1317,-9999.0000
Centro,7.0,0.1201,0.1129,0.1278,-9999.0000
Colina de Oro,7.0,0.2530,0.2255,0.3183,-9999.0000
El Esfuerzo,7.0,0.1689,0.1288,0.1756,-9999.0000
Emparte,7.0,0.0944,0.0826,0.1025,-9999.0000
Esmeralda,7.0,0.1812,0.1516,0.1893,-9999.0000
Liceo,7.0,0.1445,0.1332,0.1502,-9999.0000
Poblacion Esperanza,7.0,0.1836,0.1514,0.1978,-9999.0000
Poblacion Ferroviaria,7.0,0.1920,0.1518,0.1987,-9999.0000
R. Sotomayor,7.0,0.1703,0.1376,0.1757,-9999.0000
San Cristobal2,7.0,0.2463,0.1897,0.2611,-9999.0000
Sol del Pacifico,7.0,0.1767,0.1414,0.1907,-9999.0000
Soublete (Francisco Bilbao),7.0,0.1444,0.1197,0.1499,-9999.0000
Thompson,7.0,0.0994,0.0909,0.1034,-9999.0000
M. Mena,7.0,0.1643,0.1150,0.1819,-9999.0000
Manuel Rodriguez,7.0,0.1775,0.1229,0.1828,-9999.0000
No Organizada,7.0,0.2208,0.1511,0.2988,-9999.0000
Pompeya Norte,7.0,0.1508,0.1268,0.1723,-9999.0000
Pompeya Sur,7.0,0.1907,0.1577,0.2084,-9999.0000
Valencia Alto,7.0,0.1406,0.1145,0.1504,-9999.0000
Costa Sol,7.0,0.1288,0.0890,0.1398,-9999.0000
California,7.0,0.1424,0.1269,0.1484,-9999.0000
Camilo Henriquez,7.0,0.1548,0.1165,0.1631,-9999.0000
El Bosque,7.0,0.3808,0.2876,0.4202,-9999.0000
El Sol,7.0,0.2461,0.2140,0.2574,-9999.0000
General Baquedano,7.0,0.1570,0.1404,0.1640,-9999.0000
Infante,7.0,0.2524,0.2038,0.2732,-9999.0000
Lo Gamboa,7.0,0.1446,0.1136,0.1463,-9999.0000
Los Espinos,7.0,0.2078,0.1822,0.2114,-9999.0000
Retiro,7.0,0.2333,0.1898,0.2368,-9999.0000
Viñas del Sol,7.0,0.2185,0.1719,0.2276,-9999.0000
Buenos Aires,7.0,0.1816,0.1572,0.1975,-9999.0000
Casa de Valencia,7.0,0.2439,0.1946,0.2480,-9999.0000
Hevia,7.0,0.1512,0.1334,0.1670,-9999.0000
Humbolt,7.0,0.2112,0.1734,0.2251,-9999.0000
Phillips,7.0,0.1913,0.1480,0.2023,-9999.0000
Poblacion Argentina,7.0,0.1886,0.1624,0.2161,-9999.0000
Poblacion Canal Chacao,7.0,0.2529,0.2012,0.3279,-9999.0000
San Gregorio,7.0,0.1362,0.1243,0.1449,-9999.0000
Valencia Bajo,7.0,0.1780,0.1391,0.1883,-9999.0000
Villa Paso Hondo,7.0,0.2758,0.2381,0.3047,-9999.0000
Calicheros,8.0,0.3471,0.3025,0.4415,-9999.0000
Belloto 2000,8.0,0.1333,0.1288,0.1442,-9999.0000
Belloto Centro,8.0,0.1472,0.1388,0.1597,-9999.0000
Bernando Ohiggins,8.0,0.1672,0.1447,0.1825,-9999.0000
Cruz del Sur,8.0,0.1372,0.1325,0.1551,-9999.0000
82,8.0,0.2377,0.2041,0.2533,-9999.0000
Belloto Norte,8.0,0.1726,0.1534,0.1884,-9999.0000
E.E.U.U,8.0,0.2776,0.2457,0.2876,-9999.0000
Lincoyan,8.0,0.1753,0.1646,0.1903,-9999.0000
Los Colonos,8.0,0.3486,0.3066,0.3895,-9999.0000
Patricio Lynch,8.0,0.2981,0.2717,0.3317,-9999.0000
Santa Marta,8.0,0.3042,0.2926,0.3364,-9999.0000
Cantera,8.0,0.1750,0.1588,0.1792,-9999.0000
Decimo Sector,8.0,0.1969,0.1820,0.2123,-9999.0000
Estero Viejo,8.0,0.1728,0.1594,0.1883,-9999.0000
Matilde,8.0,0.2507,0.2260,0.2623,-9999.0000
San Cristobal,8.0,0.2162,0.1909,0.2320,-9999.0000
Tierras Rojas,8.0,0.2015,0.1609,0.2090,-9999.0000
Decimo Sector,8.0,0.2382,0.2041,0.2650,-9999.0000
Matilde,8.0,0.3143,0.2656,0.3404,-9999.0000
Los Pinos,8.0,0.2997,0.2601,0.3224,-9999.0000
Marga Marga,8.0,0.2814,0.2496,0.3003,-9999.0000
60,8.0,0.2618,0.2150,0.2942,-9999.0000
Castillo Blanco,8.0,0.1868,0.1684,0.1928,-9999.0000
El Tranque,8.0,0.2099,0.1915,0.2346,-9999.0000
Jose Miguel Carrera,8.0,0.1740,0.1475,0.2011,-9999.0000
Las Rosas,8.0,0.1623,0.1511,0.1725,-9999.0000
Piloto Pardo,8.0,0.1915,0.1655,0.2072,-9999.0000
Porvenir,8.0,0.3929,0.3513,0.3963,-9999.0000
Textil Viña,8.0,0.1471,0.1357,0.1614,-9999.0000
21 de Mayo,8.0,0.2380,0.2273,0.2601,-9999.0000
Barros Arana,8.0,0.1840,0.1678,0.2020,-9999.0000
La Granja,8.0,0.2766,0.2620,0.2907,-9999.0000
Las Viñas,8.0,0.2543,0.2415,0.2694,-9999.0000
Los Estanques,8.0,0.2442,0.2213,0.2593,-9999.0000
Mena,8.0,0.2083,0.1688,0.2250,-9999.0000
Pedro Montt,8.0,0.1983,0.1624,0.2118,-9999.0000
Victoria Oriente,8.0,0.2576,0.2378,0.2657,-9999.0000
Victoria Poniente,8.0,0.2242,0.1995,0.2335,-9999.0000
Villa Olimpica,8.0,0.2220,0.2066,0.2539,-9999.0000
Araya,8.0,0.1887,0.1784,0.2087,-9999.0000
Arturo Prat,8.0,0.1425,0.1290,0.1476,-9999.0000
Blanco,8.0,0.1440,0.1199,0.1566,-9999.0000
Centro,8.0,0.1344,0.1197,0.1436,-9999.0000
Colina de Oro,8.0,0.3258,0.3156,0.3843,-9999.0000
El Esfuerzo,8.0,0.1991,0.1843,0.2146,-9999.0000
Emparte,8.0,0.1057,0.0917,0.1119,-9999.0000
Esmeralda,8.0,0.2159,0.1667,0.2217,-9999.0000
Liceo,8.0,0.1593,0.1405,0.1707,-9999.0000
Poblacion Esperanza,8.0,0.2132,0.1996,0.2314,-9999.0000
Poblacion Ferroviaria,8.0,0.2112,0.1619,0.2286,-9999.0000
R. Sotomayor,8.0,0.1888,0.1733,0.2026,-9999.0000
San Cristobal2,8.0,0.2938,0.2705,0.3072,-9999.0000
Sol del Pacifico,8.0,0.2004,0.1842,0.2191,-9999.0000
Soublete (Francisco Bilbao),8.0,0.1641,0.1310,0.1821,-9999.0000
Thompson,8.0,0.1163,0.1033,0.1239,-9999.0000
M. Mena,8.0,0.1927,0.1744,0.2076,-9999.0000
Manuel Rodriguez,8.0,0.2084,0.1967,0.2181,-9999.0000
No Organizada,8.0,0.3430,0.2719,0.3915,-9999.0000
Pompeya Norte,8.0,0.2111,0.1931,0.2213,-9999.0000
Pompeya Sur,8.0,0.2428,0.2162,0.2526,-9999.0000
Valencia Alto,8.0,0.1722,0.1657,0.1789,-9999.0000
Costa Sol,8.0,0.1861,0.1575,0.2035,-9999.0000
California,8.0,0.1537,0.1317,0.1629,-9999.0000
Camilo Henriquez,8.0,0.1826,0.1784,0.1956,-9999.0000
El Bosque,8.0,0.4431,0.3767,0.4781,-9999.0000
El Sol,8.0,0.2659,0.2480,0.2733,-9999.0000
General Baquedano,8.0,0.1756,0.1700,0.1924,-9999.0000
Infante,8.0,0.2898,0.2205,0.2990,-9999.0000
Lo Gamboa,8.0,0.1543,0.1231,0.1693,-9999.0000
Los Espinos,8.0,0.2332,0.2251,0.2412,-9999.0000
Retiro,8.0,0.2593,0.2389,0.2781,-9999.0000
Viñas del Sol,8.0,0.2474,0.2356,0.2712,-9999.0000
Buenos Aires,8.0,0.1999,0.1909,0.2163,-9999.0000
Casa de Valencia,8.0,0.2729,0.2338,0.2762,-9999.0000
Hevia,8.0,0.1741,0.1629,0.1867,-9999.0000
Humbolt,8.0,0.2400,0.2246,0.2501,-9999.0000
Phillips,8.0,0.2174,0.2023,0.2269,-9999.0000
Poblacion Argentina,8.0,0.2454,0.1991,0.2564,-9999.0000
Poblacion Canal Chacao,8.0,0.3482,0.2669,0.3882,-9999.0000
San Gregorio,8.0,0.1578,0.1504,0.1623,-9999.0000
Valencia Bajo,8.0,0.2104,0.1942,0.2161,-9999.0000
Villa Paso Hondo,8.0,0.3387,0.2740,0.3633,-9999.0000
Calicheros,9.0,0.3430,0.3039,0.4993,-9999.0000
Belloto 2000,9.0,0.1405,0.1255,0.1598,-9999.0000
Belloto Centro,9.0,0.1569,0.1351,0.1761,-9999.0000
Bernando Ohiggins,9.0,0.1791,0.1551,0.1999,-9999.0000
Cruz del Sur,9.0,0.1527,0.1301,0.1690,-9999.0000
82,9.0,0.2281,0.1877,0.2713,-9999.0000
Belloto Norte,9.0,0.1886,0.1677,0.2105,-9999.0000
E.E.U.U,9.0,0.2706,0.2252,0.3095,-9999.0000
Lincoyan,9.0,0.1843,0.1565,0.2078,-9999.0000
Los Colonos,9.0,0.3619,0.3071,0.4236,-9999.0000
Patricio Lynch,9.0,0.3077,0.2631,0.3503,-9999.0000
Santa Marta,9.0,0.2966,0.2580,0.3491,-9999.0000
