ID,date,NDVI_AV,NDVI_UR
Area Urbana,2016-01-05,,
Area Urbana,2016-02-04,,
Area Urbana,2016-03-05,0.01179411365611143,0.018091656018562847
Area Urbana,2016-04-04,0.2300641730760566,0.2685007883417008
Area Urbana,2016-05-04,,
Area Urbana,2016-06-13,,
Area Urbana,2016-07-03,,
Area Urbana,2016-08-02,0.23788826077273667,0.3219237239119806
Area Urbana,2016-09-01,0.31462585932775883,0.4304148877936605
Area Urbana,2016-10-01,0.26279691163365676,0.3454004720225408
Area Urbana,2016-11-10,0.2648922468022246,0.3264724783545518
Area Urbana,2016-12-10,0.25616636957773997,0.2836881319698103
Area Urbana,2017-01-19,0.18140708787382404,0.19793626028383718
Area Urbana,2017-02-08,0.2256057251825668,0.24303930540022284
Area Urbana,2017-03-10,0.21075495976652686,0.22935817741194725
Area Urbana,2017-04-09,0.22919799267665825,0.2390833212809955
Area Urbana,2017-05-09,0.27085730286417603,0.27274299393245643
Area Urbana,2017-06-08,0.30272892146593794,0.3416930661302195
Area Urbana,2017-07-03,0.32514841536930206,0.39097170303609186
Area Urbana,2017-08-02,0.3275925738442037,0.4123362953992301
Area Urbana,2017-09-01,0.33002528351405175,0.4479806771081959
Area Urbana,2017-10-01,0.3069480801164551,0.4190330524597068
Area Urbana,2017-11-05,0.2769100025178778,0.36073982385474435
Area Urbana,2017-12-05,0.2526031274708276,0.3144316048890047
Area Urbana,2018-01-04,0.2365718416219046,0.29460691317252274
Area Urbana,2018-02-08,0.20399451109119596,0.21833623482980152
Area Urbana,2018-03-05,0.24317715940083284,0.2788945792229204
Area Urbana,2018-04-04,0.22449637552845603,0.2560056123852828
Area Urbana,2018-05-04,0.21295701028517514,0.23161222921108982
Area Urbana,2018-06-03,0.23199564787764615,0.25927173545652926
Area Urbana,2018-07-03,0.2622365828487061,0.30681055285813275
Area Urbana,2018-08-02,0.296254212303332,0.3350576131121629
Area Urbana,2018-09-01,0.27858957859578753,0.36436070687767197
Area Urbana,2018-10-01,0.28365458357001877,0.36203404028532615
Area Urbana,2018-11-05,0.2586651868361607,0.3165815503433972
Area Urbana,2018-12-05,0.24720440371425229,0.2837127732252279
Area Urbana,2019-01-04,0.2149314682675246,0.22657399923000723
Area Urbana,2019-02-03,0.2325100087996138,0.24537912148309787
Area Urbana,2019-03-05,0.22814284079321337,0.23297585492943348
Area Urbana,2019-04-04,0.19083128907146796,0.19886204698688442
Area Urbana,2019-05-04,0.2115737265970157,0.18181585727305327
Area Urbana,2019-06-03,0.23624793676145273,0.22181203994554755
Area Urbana,2019-07-03,0.24599215049155293,0.24602220915277623
Area Urbana,2019-08-02,0.27085708343408216,0.32174759651870866
Area Urbana,2019-09-01,0.26003943980135225,0.31111242081443935
Area Urbana,2019-10-01,0.23885520888801626,0.2674560232711774
Area Urbana,2019-11-05,0.2276641329379047,0.23216867743179873
Area Urbana,2019-12-05,0.21413606510323313,0.20699635819139162
Area Urbana,2020-01-04,0.19624908344422962,0.18279153645683133
Area Urbana,2020-02-03,0.20781229979624205,0.18701738517225444
Area Urbana,2020-03-04,0.2031671512498416,0.17457469576834495
Area Urbana,2020-04-03,0.1959410349629183,0.165598873326302
Area Urbana,2020-05-03,0.20094416591361414,0.15668827866069812
Area Urbana,2020-06-02,0.024707122160347452,0.06589587203801348
Area Urbana,2020-07-02,0.23190131751191484,0.17464013600165362
Area Urbana,2020-08-01,0.2944181265194943,0.312746361566233
Area Urbana,2020-09-05,0.2820313567880949,0.33082023879524947
Area Urbana,2020-10-05,0.2588831447275539,0.3269609695367821
Area Urbana,2020-11-09,0.24934077982940833,0.288333393138243
Area Urbana,2020-12-04,0.23550138496863007,0.2645387552049019
Area Urbana,2021-01-03,0.22446617382166092,0.2396019940742124
Area Urbana,2021-02-02,0.22532509116052507,0.21862897120392474
Area Urbana,2021-03-04,0.1871945627871701,0.17935220043861538
Area Urbana,2021-04-03,0.22513238805097166,0.21330552569308162
Area Urbana,2021-05-03,0.20727868088766116,0.18922534858497317
Area Urbana,2021-06-02,0.1920366634430824,0.1632859979239886
Area Urbana,2021-07-02,0.2152040904562385,0.2074087990235982
Area Urbana,2021-08-01,0.23164963331505253,0.2325419862510381
Area Urbana,2021-09-05,0.27195286836463506,0.2947952302989862
Area Urbana,2021-10-05,0.2505760692279453,0.2719378683971594
Area Urbana,2021-11-04,0.23842220452954416,0.2408159093959704
Area Urbana,2021-12-04,0.22883033858818724,0.21505672990234656
Area Urbana,2022-01-03,0.21401281889648466,0.19511008579963426
Area Urbana,2022-02-02,0.20595279369421135,0.17712702857309684
Area Urbana,2022-03-04,0.17500055187005092,0.14883423404789062
Area Urbana,2022-04-03,0.20550635322659982,0.16875931515221163
Area Urbana,2022-05-03,0.12084088433681978,0.10559607368800895
Area Urbana,2022-06-02,0.10304891077110098,0.07662169431927439
Area Urbana,2022-07-02,0.2762136169814816,0.2746390933073457
Area Urbana,2022-08-01,0.018725164120956095,0.021074851571988212
Area Urbana,2022-09-05,0.18413047244396732,0.20306925350289662
Area Urbana,2022-10-05,0.20018807346770937,0.2185299440231766
Area Urbana,2022-11-04,0.12931649380361243,0.14149689562267545
Area Urbana,2022-12-04,0.23185731514175373,0.25584496558542585
Area Urbana,2023-01-03,0.22271738941028402,0.2353907832404743
Area Urbana,2023-02-02,0.2049338018977057,0.2084682857976594
Area Urbana,2023-03-04,0.21882087168293476,0.2145290622899169
Area Urbana,2023-04-03,0.06939545596087955,0.07618795523344328
Area Urbana,2023-05-03,0.11707019686406754,0.10909299487059432
Area Urbana,2023-06-02,0.1378398162041811,0.12220164983734247
Area Urbana,2023-07-02,0.02240824575566644,0.02725420343943427
Area Urbana,2023-09-05,0.04426597687418248,0.04172420188699251
Area Urbana,2023-10-05,0.1394548057648987,0.1660279623191317
Area Urbana,2023-11-04,0.2070783340208912,0.23675826458642357
Area Urbana,2023-12-04,0.24596388836637517,0.28156791494346584
Area Urbana,2024-01-03,0.00816016903758092,0.00972089942044542
Area Urbana,2024-02-02,0.2322642080520895,0.22589014579828548
Area Urbana,2024-03-03,0.2332948521824928,0.21954401350049063
Area Urbana,2024-04-02,0.2342682146423346,0.21367472348934416
Area Urbana,2024-05-02,0.2393220257660071,0.20960891066847523
Area Urbana,2024-06-01,0.2892233803319078,0.2649462232461116
